,Kingdom,Phylum,Class,Order,Family,Genus,Species,AQH
ASV100,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV1011,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1027,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1042,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Cudoniella,NA,Y
ASV1048,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV1049,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1054,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV1056,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1057,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1073,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1078,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1093,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Gyoerffyella,s__entomobryoides,Y
ASV11,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV110,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV111,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1129,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__angulatum,Y
ASV1134,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Tetrachaetum,s__elegans,Y
ASV1149,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1152,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__exilis,Y
ASV116,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1163,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1166,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1172,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1189,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1196,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV12,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV124,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV1257,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,s__tetracladius,Y
ASV127,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__splendens,Y
ASV1271,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV1283,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV129,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV13,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1326,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV135,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__crassa,Y
ASV137,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV14,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV142,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV143,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV144,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__crassa,Y
ASV146,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV1467,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV149,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV15,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1518,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV153,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,s__varicosporoides,Y
ASV155,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV1599,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV16,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1657,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__pulchella,Y
ASV166,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV17,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV1720,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae,g__Clavatospora,s__longibrachiata,Y
ASV174,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV177,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV1771,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__splendens,Y
ASV18,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV1826,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Culicidospora,NA,Y
ASV1839,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__exilis,Y
ASV185,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Culicidospora,NA,Y
ASV1925,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV196,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,g__Tumularia,s__aquatica,Y
ASV2016,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV203,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Varicosporium,NA,Y
ASV205,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Campylospora,s__chaetocladia,Y
ASV21,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Tetrachaetum,s__elegans,Y
ASV215,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV218,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV220,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV223,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV227,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV229,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Mycofalcella,s__calcarata,Y
ASV231,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV239,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__cornuta,Y
ASV24,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV246,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV247,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dendrospora,s__tenella,Y
ASV250,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV264,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV267,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Lunulospora,NA,Y
ASV268,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV279,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV299,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV3,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Tetrachaetum,s__elegans,Y
ASV30,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV300,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Lunulospora,s__curvula,Y
ASV305,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Tetrachaetum,s__elegans,Y
ASV308,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV313,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV317,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hydrocina,s__chaetocladia,Y
ASV320,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV324,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Mycoarthris,s__corallina,Y
ASV331,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV336,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV337,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV34,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV342,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__filiformis,Y
ASV343,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV345,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV35,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,g__Tumularia,s__aquatica,Y
ASV351,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV354,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV357,k__Fungi,p__Ascomycota,c__Pezizomycotina_cls_Incertae_sedis,o__Pezizomycotina_ord_Incertae_sedis,f__Pezizomycotina_fam_Incertae_sedis,g__Triscelophorus,s__monosporus,Y
ASV360,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,g__Tumularia,NA,Y
ASV363,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV371,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV38,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Campylospora,s__chaetocladia,Y
ASV381,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hydrocina,s__chaetocladia,Y
ASV384,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV385,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__splendens,Y
ASV4,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV40,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV402,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV41,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV421,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV431,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV436,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hydrocina,s__chaetocladia,Y
ASV44,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV440,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV445,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV47,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV487,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV496,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV5,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV50,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV537,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV54,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Mycoarthris,s__corallina,Y
ASV542,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV546,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV55,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV554,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Mycoarthris,s__corallina,Y
ASV56,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV584,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV589,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV59,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV596,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV598,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV606,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Mycofalcella,s__calcarata,Y
ASV607,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__exilis,Y
ASV630,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV637,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV651,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV657,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV66,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV660,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV683,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV69,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Tetrachaetum,s__elegans,Y
ASV690,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Flagellospora,s__fusarioides,Y
ASV695,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV7,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__splendens,Y
ASV727,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV730,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__fistucella,Y
ASV732,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__crassa,Y
ASV741,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV758,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV768,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV79,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV792,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__splendens,Y
ASV804,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycocentrospora,s__acerina,Y
ASV821,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV842,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV868,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV869,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__angulatum,Y
ASV877,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,NA,Y
ASV892,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV893,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,NA,Y
ASV897,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__pulchella,Y
ASV9,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV902,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV958,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV97,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,s__tetracladius,Y
ASV1,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV10,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV1000,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV1002,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Cistella,s__albidolutea,
ASV1007,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA,
ASV1008,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA,
ASV101,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Bartaliniaceae,g__Bartalinia,s__robillardoides,
ASV1010,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1012,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1013,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,s__doliolum,
ASV1014,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Powellomyces,s__hirtus,
ASV1015,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__horticola,
ASV1016,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Pseudocoleophoma,s__calamagrostidis,
ASV1017,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1018,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__tricincta,
ASV1019,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Corticiales,f__Corticiaceae,g__Laetisaria,s__arvalis,
ASV102,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV1021,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__hirta,
ASV1022,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,NA,
ASV1023,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Kalmusia,NA,
ASV1025,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,NA,NA,
ASV1026,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__luteoalbum,
ASV103,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__microsporum,
ASV1032,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__disseminatus,
ASV1036,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,s__menthae,
ASV1038,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Bradymyces,NA,
ASV1041,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae,g__Rhizophlyctis,s__rosea,
ASV1043,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV1044,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1046,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,NA,NA,
